Matching.Attribute;Ensembl;Ensembl-mapping-by-Label-as-HGNC;Ensembl-mapping-by-name-as-entrez;cl1.Status;entrez gene/locuslink;biogrid;Label;ncbi_gene_id;name;shared name
[ENSG00000168610];ENSG00000168610;;ENSG00000168610;Outlier;[ADMIO, 6774, STAT3, APRF, HIES];[112651];STAT3;6774;ENSP00000264657;"6774;ENSP00000264657"
[ENSG00000150991];ENSG00000150991;ENSG00000150991;ENSG00000150991;Outlier;[UBC, 7316, HMG20];[113164];UBC;7316;ENSP00000344818;"7316;ENSP00000344818"
[ENSG00000166946];ENSG00000166946;;ENSG00000166946;Outlier;[GCIP, 23582, DIP1, CCNDBP1, HHM];[117117];CCNDBP1;23582;ENSP00000300213;"23582;ENSP00000300213"
[ENSG00000114166];ENSG00000114166;ENSG00000114166;ENSG00000114166;Outlier;[8850, KAT2B, P/CAF, CAF, PCAF];[114375];KAT2B;8850;8850;"8850;ENSP00000263754"
[ENSG00000164885];ENSG00000164885;ENSG00000164885;ENSG00000164885;"Outlier;Overlap";[CDK5, 1020, PSSALRE];[107455];CDK5;1020;1020;1020
[ENSG00000174775];ENSG00000174775;;ENSG00000174775;"Outlier;Overlap";[C-H-RAS, HAMSV, p21ras, 3265, C-BAS/HAS, HRAS1, CTLO, H-RASIDX, HRAS, C-HA-RAS1, RASH1];[109501];HRAS;3265;ENSP00000309845;ENSP00000309845
[ENSG00000171720];ENSG00000171720;ENSG00000171720;ENSG00000171720;"Cluster;Outlier";[HDAC3, HD3, RPD3-2, 8841, RPD3];[114368];HDAC3;8841;8841;8841
[ENSG00000133703];ENSG00000133703;;ENSG00000133703;"Cluster;Outlier";[KI-RAS, NS, RASK2, CFC2, K-RAS2B, K-RAS2A, K-RAS4B, NS3, K-RAS4A, KRAS, C-K-RAS, 3845, KRAS2, KRAS1];[110043];KI-RAS;3845;3845;3845
[ENSG00000170312];ENSG00000170312;;ENSG00000170312;"Outlier;Overlap";[983, P34CDC2, CDK1, CDC28A, CDC2];[107420];P34CDC2;983;983;983
[ENSG00000124762];ENSG00000124762;ENSG00000124762;ENSG00000124762;"Outlier;Overlap";[CDKN1A, 1026, CIP1, p21CIP1, CDKN1, WAF1, CAP20, P21, MDA-6, SDI1];[107460];CDKN1A;1026;1026;1026
