Matching.Attribute;;cl1.Status;Ensembl;Ensembl-by-entrez_ncbi-combined;Ensembl-by-hgnc-label;entrez gene/locuslink;Human Readable Label;Label;biogrid;ncbi_gene_id
ENSG00000142273;;Outlier;ENSG00000142273;ENSG00000142273;;CBL-SL|RNF57|CBLC|CBL-3|23624;CBL-SL;CBLC;117156;23624
ENSG00000166598;;Outlier;ENSG00000166598;ENSG00000166598;;HEL35|ECGP|GP96|TRA1|GRP94|7184|HSP90B1|HEL-S-125m;HEL35;HSP90B1;113036;7184
ENSG00000141738;;Outlier;ENSG00000141738;ENSG00000141738;ENSG00000141738;GRB7|2886;GRB7;GRB7;109143;2886
ENSG00000169398;;Outlier;ENSG00000169398;ENSG00000169398;;FAK|FAK1|FADK|FRNK|pp125FAK|5747|p125FAK|PTK2|PPP1R71;FAK;PTK2;111719;5747
ENSG00000174808;;Outlier;ENSG00000174808;ENSG00000174808;ENSG00000174808;BTC|685;BTC;BTC;107150;685
ENSG00000152894;;Outlier;ENSG00000152894;ENSG00000152894;;R-PTP-kappa|5796|RP3-480J14.1|PTPRK;R-PTP-kappa;PTPRK;111760;5796
ENSG00000157168;;Outlier;ENSG00000157168;ENSG00000157168;;NRG1-IT2|HRGA|GGF|NRG1|MSTP131|HGL|GGF2|3084|NDF|HRG1|ARIA|SMDF|HRG|MST131;NRG1-IT2;NRG1;109332;3084
ENSG00000186575;;Outlier;ENSG00000186575;ENSG00000186575;;4771|BANF|SCH|NF2|ACN;BANF;NF2;110844;4771
ENSG00000179295;;Outlier;ENSG00000179295;ENSG00000179295;;CFC|SHP2|5781|PTP2C|PTPN11|PTP-1D|NS1|BPTP3|SH-PTP3|SH-PTP2;CFC;PTPN11;111745;5781
ENSG00000158458;;"Cluster;Outlier";ENSG00000158458;ENSG00000158458;;9542|HRG2|NTAK|NRG2|DON1;HRG2;NRG2;114917;9542
ENSG00000105974;;Outlier;ENSG00000105974;ENSG00000105974;;BSCL3|VIP21|CGL3|CAV1|857|MSTP085|PPH3|LCCNS;BSCL3;CAV1;107305;857
ENSG00000170606;;Outlier;ENSG00000170606;ENSG00000170606;;hsp70|HSPH2|APG-2|HS24/P52|HSPA4|HEL-S-5a|RY|hsp70RY|3308;hsp70;HSPA4;109540;3308
ENSG00000112851;;Outlier;ENSG00000112851;ENSG00000112851;;ERBB2IP|LAP2|ERBIN|HEL-S-78|55914;ERBB2IP;ERBIN;120997;55914
